sampleID,depthUpper,depthLower,weight,toc,sh0,sh1,oil,sh2,nso,s3,tMax,depthMedian,hi,oi,tpi,osi,oilInRock,vRo1,vRo2,vRo3,prcntOilLight,prcntOilHeavy,prcntNso,s2s3,wellID,rowID
3,2900.56,,60.4,2.4,0,3.91,3.91,5.97,0,0.11,448,"2,900.56",248.75,4.58,0.4,162.92,94.82,0.95,0.83,0.9,0,100,0,54.27,9,03-Sep
4,2901.82,,60.1,2.31,0,2.95,2.95,5.36,0,0.12,451,"2,901.82",232.03,5.19,0.35,127.71,71.54,1,0.87,0.96,0,100,0,44.67,9,04-Sep
5,2903.11,,60.1,3.04,0,3.72,3.72,7.25,0,0.14,451,"2,903.11",238.49,4.61,0.34,122.37,90.21,1,0.87,0.96,0,100,0,51.79,9,05-Sep
6,2904.22,,60.2,3.03,0,3.32,3.32,7.03,0,0.14,451,"2,904.22",232.01,4.62,0.32,109.57,80.51,1,0.87,0.96,0,100,0,50.21,9,06-Sep
7,2904.98,,60.4,2.91,0,3.48,3.48,6.92,0,0.16,451,"2,904.98",237.8,5.5,0.33,119.59,84.39,1,0.87,0.96,0,100,0,43.25,9,07-Sep
8,2905.99,,60.2,3.11,0,3.27,3.27,7.27,0,0.16,451,"2,905.99",233.76,5.14,0.31,105.14,79.3,1,0.87,0.96,0,100,0,45.44,9,08-Sep
9,2907.27,,60.8,3.15,0,3.14,3.14,7.33,0,0.18,452,"2,907.27",232.7,5.71,0.3,99.68,76.15,1.01,0.88,0.98,0,100,0,40.72,9,09-Sep
10,2909.04,,60.5,3.01,0,3.52,3.52,6.71,0,0.14,448,"2,909.04",222.92,4.65,0.34,116.94,85.36,0.95,0.83,0.9,0,100,0,47.93,9,10-Sep
11,2910.74,,60.4,3.91,0,4.08,4.08,9.54,0,0.11,451,"2,910.74",243.99,2.81,0.3,104.35,98.94,1,0.87,0.96,0,100,0,86.73,9,11-Sep
12,2911.51,,60.4,2.92,0,4.22,4.22,7.31,0,0.09,451,"2,911.51",250.34,3.08,0.37,144.52,102.34,1,0.87,0.96,0,100,0,81.22,9,12-Sep
13,2912.42,,60.2,3.71,0,4.41,4.41,8.96,0,0.1,452,"2,912.42",241.51,2.7,0.33,118.87,106.94,1.01,0.88,0.98,0,100,0,89.6,9,13-Sep
14,2913.43,,60.6,3.18,0,4.68,4.68,7.61,0,0.1,450,"2,913.43",239.31,3.14,0.38,147.17,113.49,0.98,0.86,0.94,0,100,0,76.1,9,14-Sep
15,2914.74,,0,3.7,0,4.39,4.39,8.94,0,0.1,451,"2,914.74",241.62,2.7,0.33,118.65,106.46,1,0.87,0.96,0,100,0,89.4,9,15-Sep
16,2915.59,,0,3.26,0,4.29,4.29,7.66,0,0.09,451,"2,915.59",234.97,2.76,0.36,131.6,104.03,1,0.87,0.96,0,100,0,85.11,9,16-Sep
17,2916.54,,0,2.6,0,3.22,3.22,5.74,0,0.12,447,"2,916.54",220.77,4.62,0.36,123.85,78.09,0.93,0.81,0.89,0,100,0,47.83,9,17-Sep
18,2917.91,,0,4.46,0,3.56,3.56,9.93,0,0.11,452,"2,917.91",222.65,2.47,0.26,79.82,86.33,1.01,0.88,0.98,0,100,0,90.27,9,18-Sep
19,2919.04,,0,3.08,0,2.8,2.8,6.92,0,0.11,450,"2,919.04",224.68,3.57,0.29,90.91,67.9,0.98,0.86,0.94,0,100,0,62.91,9,19-Sep
1,2895,,60.5,2.21,0,1.82,1.82,3.3,0,0.42,450,"2,895.00",149.32,19,0.36,82.35,44.14,0.98,0.86,0.94,0,100,0,7.86,10,01-Oct
2,2895.4,,60.2,2.85,0,2.09,2.09,4.79,0,0.45,450,"2,895.40",168.07,15.79,0.3,73.33,50.68,0.98,0.86,0.94,0,100,0,10.64,10,02-Oct
3,2897.35,,60.4,0.99,0,1.14,1.14,1.18,0,0.43,448,"2,897.35",119.19,43.43,0.49,115.15,27.65,0.95,0.83,0.9,0,100,0,2.74,10,03-Oct
4,2902.5,,60.1,2.13,0,1.82,1.82,3.2,0,0.5,451,"2,902.50",150.23,23.47,0.36,85.45,44.14,1,0.87,0.96,0,100,0,6.4,10,04-Oct
5,2904.2,,60.1,2.13,0,1.54,1.54,3.55,0,0.51,451,"2,904.20",166.67,23.94,0.3,72.3,37.35,1,0.87,0.96,0,100,0,6.96,10,05-Oct
6,2905.11,,60.2,1.13,0,1.45,1.45,1.32,0,0.49,450,"2,905.11",116.81,43.36,0.52,128.32,35.16,0.98,0.86,0.94,0,100,0,2.69,10,06-Oct
7,2906.5,,60.4,3.35,0,2.64,2.64,6.29,0,0.48,452,"2,906.50",187.76,14.33,0.3,78.81,64.02,1.01,0.88,0.98,0,100,0,13.1,10,07-Oct
8,2907,,60.2,2.45,0,2.72,2.72,4.18,0,0.51,452,"2,907.00",170.61,20.82,0.39,111.02,65.96,1.01,0.88,0.98,0,100,0,8.2,10,08-Oct
9,2907.95,,60.8,4.79,0,2.79,2.79,11.87,0,0.5,450,"2,907.95",247.81,10.44,0.19,58.25,67.66,0.98,0.86,0.94,0,100,0,23.74,10,09-Oct
10,2909,,60.5,3.35,0,2.74,2.74,7.47,0,0.48,448,"2,909.00",222.99,14.33,0.27,81.79,66.45,0.95,0.83,0.9,0,100,0,15.56,10,10-Oct
11,2910.5,,60.4,3.61,0,2.79,2.79,7.44,0,0.48,451,"2,910.50",206.09,13.3,0.27,77.29,67.66,1,0.87,0.96,0,100,0,15.5,10,11-Oct
12,2913,,60.4,1.2,0,0.91,0.91,1.88,0,0.42,451,"2,913.00",156.67,35,0.33,75.83,22.07,1,0.87,0.96,0,100,0,4.48,10,12-Oct
13,2914.3,,60.2,2.11,0,1.57,1.57,3.64,0,0.46,451,"2,914.30",172.51,21.8,0.3,74.41,38.07,1,0.87,0.96,0,100,0,7.91,10,13-Oct
14,2915.2,,60.6,3.55,0,2.43,2.43,7.64,0,0.45,452,"2,915.20",215.21,12.68,0.24,68.45,58.93,1.01,0.88,0.98,0,100,0,16.98,10,14-Oct
15,2916.2,,0,3.25,0,2.29,2.29,7.22,0,0.39,448,"2,916.20",222.15,12,0.24,70.46,55.53,0.95,0.83,0.9,0,100,0,18.51,10,15-Oct
16,2918.4,,0,3.92,0,2.77,2.77,9.16,0,0.43,449,"2,918.40",233.67,10.97,0.23,70.66,67.17,0.96,0.84,0.92,0,100,0,21.3,10,16-Oct
17,2920.48,,0,3.85,0,3.25,3.25,8.8,0,0.41,449,"2,920.48",228.57,10.65,0.27,84.42,78.81,0.96,0.84,0.92,0,100,0,21.46,10,17-Oct
18,2921.5,,0,3.76,0,2.45,2.45,8.52,0,0.46,452,"2,921.50",226.6,12.23,0.22,65.16,59.41,1.01,0.88,0.98,0,100,0,18.52,10,18-Oct
19,2924,,0,4.27,0,2.75,2.75,9.9,0,0.46,452,"2,924.00",231.85,10.77,0.22,64.4,66.69,1.01,0.88,0.98,0,100,0,21.52,10,19-Oct
20,2925.1,,0,4.03,0,2.74,2.74,9.41,0,0.38,450,"2,925.10",233.5,9.43,0.23,67.99,66.45,0.98,0.86,0.94,0,100,0,24.76,10,20-Oct
21,2926.83,,0,2.9,0,1.65,1.65,6.19,0,0.44,454,"2,926.83",213.45,15.17,0.21,56.9,40.01,1.05,0.91,1.01,0,100,0,14.07,10,21-Oct
22,2927.8,,0,0.18,0,0.15,0.15,0.05,0,0.21,450,"2,927.80",27.78,116.67,0.75,83.33,3.64,0.98,0.86,0.94,0,100,0,0.24,10,22-Oct
1,2333.84,,0,3.04,0,2.09,2.09,6.43,0,0.32,447,"2,333.84",211.51,10.53,0.25,68.75,50.68,0.93,0.81,0.89,0,100,0,20.09,11,01-Nov
2,2335.98,,0,1.89,0,1.03,1.03,3.8,0,0.4,453,"2,335.98",201.06,21.16,0.21,54.5,24.98,1.03,0.9,0.99,0,100,0,9.5,11,02-Nov
1,2397.5,,0,8.59,0,4.14,4.14,15.11,0,0.52,454,"2,397.50",175.9,6.05,0.22,48.2,100.4,1.05,0.91,1.01,0,100,0,29.06,12,01-Dec
2,2404,,0,8.38,0,2.91,2.91,13.32,0,0.73,452,"2,404.00",158.95,8.71,0.18,34.73,70.57,1.01,0.88,0.98,0,100,0,18.25,12,02-Dec
3,2428.5,,0,8.74,0,4.29,4.29,11.18,0,0.5,454,"2,428.50",127.92,5.72,0.28,49.08,104.03,1.05,0.91,1.01,0,100,0,22.36,12,03-Dec
4,2431.1,,0,7.03,0,4.55,4.55,10.23,0,0.43,455,"2,431.10",145.52,6.12,0.31,64.72,110.34,1.07,0.93,1.03,0,100,0,23.79,12,04-Dec
1,2333.84,,0,2.91,0,2.04,2.04,6.72,0,0.43,448,"2,333.84",230.93,14.78,0.23,70.1,49.47,0.95,0.83,0.9,0,100,0,15.63,13,13-Jan
2,2335.98,,0,3.2,0,1.94,1.94,7.5,0,0.4,448,"2,335.98",234.38,12.5,0.21,60.63,47.05,0.95,0.83,0.9,0,100,0,18.75,13,13-Feb
3,2339.79,,0,3.92,0,2.26,2.26,8.38,0,0.55,448,"2,339.79",213.78,14.03,0.21,57.65,54.81,0.95,0.83,0.9,0,100,0,15.24,13,13-Mar
4,2360.06,,0,5.79,0,3.02,3.02,13.6,0,0.43,452,"2,360.06",234.89,7.43,0.18,52.16,73.24,1.01,0.88,0.98,0,100,0,31.63,13,13-Apr
1,2322.58,,0,0.34,0,0.07,0.07,0.08,0,0.52,429,"2,322.58",23.53,152.94,0.47,20.59,1.7,0.62,0.54,0.56,0,100,0,0.15,14,14-Jan
2,2325.62,,0,0.45,0,0.1,0.1,0.1,0,0.64,426,"2,325.62",22.22,142.22,0.5,22.22,2.43,0.57,0.5,0.51,0,100,0,0.16,14,14-Feb
3,2328.67,,0,2.27,0,0.46,0.46,6.38,0,0.58,431,"2,328.67",281.06,25.55,0.07,20.26,11.16,0.66,0.57,0.6,0,100,0,11,14,14-Mar
4,2331.72,,0,1.99,0,0.31,0.31,4.06,0,1.16,430,"2,331.72",204.02,58.29,0.07,15.58,7.52,0.64,0.56,0.58,0,100,0,3.5,14,14-Apr
5,2333.8,,0,5.85,0,3.2,3.2,30.41,0,0.55,428,"2,333.80",519.83,9.4,0.1,54.7,77.6,0.61,0.53,0.54,0,100,0,55.29,14,14-May
6,2334.26,,60.5,3.55,0,2.51,2.51,14.95,0,0.45,432,"2,334.26",421.13,12.68,0.14,70.7,60.87,0.67,0.59,0.62,0,100,0,33.22,14,14-Jun
7,2335.12,,60.2,10.21,0,5.45,5.45,54.46,0,0.61,425,"2,335.12",533.4,5.97,0.09,53.38,132.16,0.56,0.48,0.49,0,100,0,89.28,14,14-Jul
8,2335.68,,60.4,9.49,0,5.1,5.1,50.81,0,0.49,425,"2,335.68",535.41,5.16,0.09,53.74,123.68,0.56,0.48,0.49,0,100,0,103.69,14,14-Aug
9,2336.44,,60.1,1.9,0,1.95,1.95,6.51,0,0.43,436,"2,336.44",342.63,22.63,0.23,102.63,47.29,0.74,0.65,0.69,0,100,0,15.14,14,14-Sep
10,2337.23,,60.1,1.14,0,0.61,0.61,4.21,0,0.41,444,"2,337.23",369.3,35.96,0.13,53.51,14.79,0.88,0.77,0.83,0,100,0,10.27,14,14-Oct
11,2337.99,,60.2,1.4,0,0.97,0.97,4.09,0,0.42,440,"2,337.99",292.14,30,0.19,69.29,23.52,0.81,0.71,0.76,0,100,0,9.74,14,14-Nov
12,2338.98,,60.4,10.52,0,6.83,6.83,59.22,0,0.6,426,"2,338.98",562.93,5.7,0.1,64.92,165.63,0.57,0.5,0.51,0,100,0,98.7,14,14-Dec
13,2339.34,,60.2,4.94,0,3.54,3.54,22.15,0,0.61,429,"2,339.34",448.38,12.35,0.14,71.66,85.85,0.62,0.54,0.56,0,100,0,36.31,14,14-13
14,2339.97,,60.8,4.58,0,2.5,2.5,21.88,0,0.49,434,"2,339.97",477.73,10.7,0.1,54.59,60.63,0.71,0.62,0.65,0,100,0,44.65,14,14-14
15,2341.4,,60.5,0.45,0,0.14,0.14,0.49,0,0.47,439,"2,341.40",108.89,104.44,0.22,31.11,3.4,0.79,0.69,0.74,0,100,0,1.04,14,14-15
16,2343.66,,60.4,0.8,0,0.24,0.24,1.58,0,0.63,437,"2,343.66",197.5,78.75,0.13,30,5.82,0.76,0.66,0.71,0,100,0,2.51,14,14-16
17,2344.78,,60.4,1.52,0,0.88,0.88,4.68,0,0.59,438,"2,344.78",307.89,38.82,0.16,57.89,21.34,0.78,0.68,0.72,0,100,0,7.93,14,14-17
18,2346.05,,60.2,0.46,0,0.95,0.95,0.63,0,0.6,433,"2,346.05",136.96,130.43,0.6,206.52,23.04,0.69,0.6,0.63,0,100,0,1.05,14,14-18
19,2350.01,,60.6,0.86,0,0.15,0.15,0.49,0,0.74,429,"2,350.01",56.98,86.05,0.23,17.44,3.64,0.62,0.54,0.56,0,100,0,0.66,14,14-19
20,2356.1,,0,0.52,0,0.11,0.11,0.26,0,0.76,431,"2,356.10",50,146.15,0.3,21.15,2.67,0.66,0.57,0.6,0,100,0,0.34,14,14-20
21,2359.15,,0,0.83,0,0.18,0.18,1.01,0,0.55,432,"2,359.15",121.69,66.27,0.15,21.69,4.37,0.67,0.59,0.62,0,100,0,1.84,14,14-21
22,2362.2,,0,1.3,0,0.17,0.17,1.86,0,0.83,435,"2,362.20",143.08,63.85,0.08,13.08,4.12,0.73,0.63,0.67,0,100,0,2.24,14,14-22
23,2368.3,,0,0.68,0,0.11,0.11,0.47,0,1.09,427,"2,368.30",69.12,160.29,0.19,16.18,2.67,0.59,0.51,0.53,0,100,0,0.43,14,14-23
24,2383.54,,0,0.5,0,0.09,0.09,0.17,0,0.99,428,"2,383.54",34,198,0.35,18,2.18,0.61,0.53,0.54,0,100,0,0.17,14,14-24
25,2395.73,,0,0.42,0,0.08,0.08,0.21,0,0.84,428,"2,395.73",50,200,0.28,19.05,1.94,0.61,0.53,0.54,0,100,0,0.25,14,14-25
26,2407.92,,0,0.99,0,0.28,0.28,0.99,0,0.77,433,"2,407.92",100,77.78,0.22,28.28,6.79,0.69,0.6,0.63,0,100,0,1.29,14,14-26
1,2996.24,,0,0.35,0,1.03,1.03,0.34,0,0.28,451,"2,996.24",97.14,80,0.75,294.29,24.98,1,0.87,0.96,0,100,0,1.21,15,15-Jan
2,2997.26,,0,3.41,0,3.25,3.25,5.39,0,0.12,451,"2,997.26",158.06,3.52,0.38,95.31,78.81,1,0.87,0.96,0,100,0,44.92,15,15-Feb
3,2998.01,,0,1.94,0,2.8,2.8,3.34,0,0.07,447,"2,998.01",172.16,3.61,0.46,144.33,67.9,0.93,0.81,0.89,0,100,0,47.71,15,15-Mar
4,2998.5,,0,1.04,0,2.17,2.17,1.95,0,0.07,452,"2,998.50",187.5,6.73,0.53,208.65,52.62,1.01,0.88,0.98,0,100,0,27.86,15,15-Apr
5,2999.9,,0,2.7,0,4.11,4.11,5.05,0,0.06,450,"2,999.90",187.04,2.22,0.45,152.22,99.67,0.98,0.86,0.94,0,100,0,84.17,15,15-May
6,3000.63,,60.5,0.07,0,0.11,0.11,0.12,0,0.02,450,"3,000.63",171.43,28.57,0.48,157.14,2.67,0.98,0.86,0.94,0,100,0,6,15,15-Jun
7,3001.49,,60.2,3.05,0,5.51,5.51,5.77,0,0.05,450,"3,001.49",189.18,1.64,0.49,180.66,133.62,0.98,0.86,0.94,0,100,0,115.4,15,15-Jul
8,3002.61,,60.4,2.94,0,5.52,5.52,5.4,0,0.05,448,"3,002.61",183.67,1.7,0.51,187.76,133.86,0.95,0.83,0.9,0,100,0,108,15,15-Aug
9,3003.93,,60.1,3.4,0,3.78,3.78,5.72,0,0.08,451,"3,003.93",168.24,2.35,0.4,111.18,91.67,1,0.87,0.96,0,100,0,71.5,15,15-Sep
10,3005.4,,60.1,3.75,0,3.67,3.67,6.41,0,0.1,451,"3,005.40",170.93,2.67,0.36,97.87,89,1,0.87,0.96,0,100,0,64.1,15,15-Oct
11,3006.29,,60.2,3.58,0,3.17,3.17,6.33,0,0.09,450,"3,006.29",176.82,2.51,0.33,88.55,76.87,0.98,0.86,0.94,0,100,0,70.33,15,15-Nov
12,3007.52,,60.4,3.04,0,3.23,3.23,4.79,0,0.06,452,"3,007.52",157.57,1.97,0.4,106.25,78.33,1.01,0.88,0.98,0,100,0,79.83,15,15-Dec
13,3008.77,,60.2,2.53,0,3.21,3.21,4.77,0,0.07,452,"3,008.77",188.54,2.77,0.4,126.88,77.84,1.01,0.88,0.98,0,100,0,68.14,15,15-13
14,3010.05,,60.8,3.21,0,3.11,3.11,5.48,0,0.11,450,"3,010.05",170.72,3.43,0.36,96.88,75.42,0.98,0.86,0.94,0,100,0,49.82,15,15-14
15,3011.57,,60.5,3.63,0,3.79,3.79,6.68,0,0.06,448,"3,011.57",184.02,1.65,0.36,104.41,91.91,0.95,0.83,0.9,0,100,0,111.33,15,15-15
16,3012.19,,60.4,4.69,0,3.31,3.31,8,0,0.16,451,"3,012.19",170.58,3.41,0.29,70.58,80.27,1,0.87,0.96,0,100,0,50,15,15-16
17,3013.16,,60.4,2.39,0,2.3,2.3,4.28,0,0.1,451,"3,013.16",179.08,4.18,0.35,96.23,55.78,1,0.87,0.96,0,100,0,42.8,15,15-17
18,3014.8,,60.2,1.17,0,1.17,1.17,1.47,0,0.21,451,"3,014.80",125.64,17.95,0.44,100,28.37,1,0.87,0.96,0,100,0,7,15,15-18
19,3017.44,,60.6,0.16,0,0.22,0.22,0.19,0,0.03,452,"3,017.44",118.75,18.75,0.54,137.5,5.34,1.01,0.88,0.98,0,100,0,6.33,15,15-19
20,3020.38,,0,0.2,0,0.32,0.32,0.26,0,0.11,448,"3,020.38",130,55,0.55,160,7.76,0.95,0.83,0.9,0,100,0,2.36,15,15-20
1,2726.4,,0,2.13,2.18,2.25,4.43,3.2,0,0.05,445,"2,726.40",150.23,2.35,0.58,207.98,107.43,0.9,0.78,0.85,49.21,50.79,0,64,16,16-Jan
2,2727.81,,0,1.78,1.73,1.97,3.7,2.78,0,0.05,446,"2,727.81",156.18,2.81,0.57,207.87,89.73,0.91,0.8,0.87,46.76,53.24,0,55.6,16,16-Feb
3,2730.38,,0,3.36,1.86,2.27,4.13,5.42,0,0.06,452,"2,730.38",161.31,1.79,0.43,122.92,100.15,1.01,0.88,0.98,45.04,54.96,0,90.33,16,16-Mar
4,2732.25,,0,3.34,1.74,2.14,3.88,5.33,0,0.06,451,"2,732.25",159.58,1.8,0.42,116.17,94.09,1,0.87,0.96,44.85,55.15,0,88.83,16,16-Apr
5,2733.35,,0,3.22,1.83,2.67,4.5,5.14,0,0.04,451,"2,733.35",159.63,1.24,0.47,139.75,109.13,1,0.87,0.96,40.67,59.33,0,128.5,16,16-May
6,2735.74,,60.5,2.77,2.38,2.72,5.1,4.47,0,0.04,448,"2,735.74",161.37,1.44,0.53,184.12,123.68,0.95,0.83,0.9,46.67,53.33,0,111.75,16,16-Jun
7,2737.26,,60.2,2.89,1.72,2.22,3.94,4.42,0,0.05,451,"2,737.26",152.94,1.73,0.47,136.33,95.55,1,0.87,0.96,43.65,56.35,0,88.4,16,16-Jul
8,2738.86,,60.4,2.54,2.64,2.92,5.56,3.9,0,0.04,445,"2,738.86",153.54,1.57,0.59,218.9,134.83,0.9,0.78,0.85,47.48,52.52,0,97.5,16,16-Aug
9,2739.35,,60.1,2.77,1.85,2.13,3.98,3.6,0,0.01,447,"2,739.35",129.96,0.36,0.53,143.68,96.52,0.93,0.81,0.89,46.48,53.52,0,360,16,16-Sep
10,2739.8,,60.1,3.23,1.44,2.14,3.58,4.8,0,0.05,451,"2,739.80",148.61,1.55,0.43,110.84,86.82,1,0.87,0.96,40.22,59.78,0,96,16,16-Oct
11,2740.33,,60.2,3.96,1.63,2.45,4.08,6.06,0,0.06,454,"2,740.33",153.03,1.52,0.4,103.03,98.94,1.05,0.91,1.01,39.95,60.05,0,101,16,16-Nov
12,2741.85,,60.4,3.35,1.71,2.34,4.05,5.18,0,0.05,451,"2,741.85",154.63,1.49,0.44,120.9,98.21,1,0.87,0.96,42.22,57.78,0,103.6,16,16-Dec
13,2742.83,,60.2,1.21,0.72,1.02,1.74,1.74,0,0.09,450,"2,742.83",143.8,7.44,0.5,143.8,42.2,0.98,0.86,0.94,41.38,58.62,0,19.33,16,16-13
14,2743.57,,60.8,2.28,1.08,1.78,2.86,3.64,0,0.07,452,"2,743.57",159.65,3.07,0.44,125.44,69.36,1.01,0.88,0.98,37.76,62.24,0,52,16,16-14
1,2922,,0,2.87,0,2.55,2.55,3.54,0,0.12,456,"2,922.00",123.34,4.18,0.42,88.85,61.84,1.07,0.94,1.04,0,100,0,29.5,17,17-Jan
2,2922.59,,0,3.17,0,3.46,3.46,3.86,0,0.17,454,"2,922.59",121.77,5.36,0.47,109.15,83.91,1.04,0.91,1.01,0,100,0,22.71,17,17-Feb
3,2923.38,,0,3.42,0,3.33,3.33,4.43,0,0.15,455,"2,923.38",129.53,4.39,0.43,97.37,80.75,1.07,0.93,1.03,0,100,0,29.53,17,17-Mar
4,2925,,0,2.8,0,1.84,1.84,3.63,0,0.14,456,"2,925.00",129.64,5,0.34,65.71,44.62,1.08,0.94,1.05,0,100,0,25.93,17,17-Apr
5,2925.42,,0,2.64,0,2.01,2.01,1.98,0,0.32,444,"2,925.42",75,12.12,0.5,76.14,48.74,0.87,0.76,0.82,0,100,0,6.19,17,17-May
6,2927.75,,60.5,2.47,0,1.49,1.49,2.58,0,0.14,455,"2,927.75",104.45,5.67,0.37,60.32,36.13,1.06,0.93,1.02,0,100,0,18.43,17,17-Jun
7,2928.05,,60.2,3.43,0,3.17,3.17,3.87,0,0.26,445,"2,928.05",112.83,7.58,0.45,92.42,76.87,0.89,0.77,0.84,0,100,0,14.88,17,17-Jul
8,2929.12,,60.4,2.98,0,3.36,3.36,3.67,0,0.16,451,"2,929.12",123.15,5.37,0.48,112.75,81.48,1,0.87,0.96,0,100,0,22.94,17,17-Aug
9,2930.6,,60.1,3.69,0,4.61,4.61,5.67,0,0.14,451,"2,930.60",153.66,3.79,0.45,124.93,111.79,1,0.88,0.97,0,100,0,40.5,17,17-Sep
10,2930.75,,60.1,3.44,0,4.23,4.23,5.25,0,0.1,458,"2,930.75",152.62,2.91,0.45,122.97,102.58,1.11,0.97,1.08,0,100,0,52.5,17,17-Oct
11,2931.79,,60.2,2.61,0,3.57,3.57,3.42,0,0.13,453,"2,931.79",131.03,4.98,0.51,136.78,86.57,1.03,0.9,0.99,0,100,0,26.31,17,17-Nov
12,2933.63,,60.4,3.32,0,3.36,3.36,3.99,0,0.15,456,"2,933.63",120.18,4.52,0.46,101.2,81.48,1.07,0.94,1.04,0,100,0,26.6,17,17-Dec
13,2933.75,,60.2,3.54,0,3.11,3.11,4.73,0,0.11,457,"2,933.75",133.62,3.11,0.4,87.85,75.42,1.1,0.96,1.07,0,100,0,43,17,17-13
14,2934.68,,60.8,2.57,0,3.35,3.35,3.13,0,0.09,451,"2,934.68",121.79,3.5,0.52,130.35,81.24,1,0.87,0.96,0,100,0,34.78,17,17-14
15,2935.86,,60.5,3.48,0,3.64,3.64,4.77,0,0.12,456,"2,935.86",137.07,3.45,0.43,104.6,88.27,1.08,0.95,1.05,0,100,0,39.75,17,17-15
16,2936.46,,60.4,2.54,0,3.68,3.68,3.14,0,0.11,451,"2,936.46",123.62,4.33,0.54,144.88,89.24,1,0.87,0.96,0,100,0,28.55,17,17-16
17,2936.8,,60.4,3.41,0,2.89,2.89,4.65,0,0.08,459,"2,936.80",136.36,2.35,0.38,84.75,70.08,1.13,0.98,1.09,0,100,0,58.13,17,17-17
18,2939.7,,60.2,3.69,0,2.1,2.1,5.54,0,0.08,460,"2,939.70",150.14,2.17,0.27,56.91,50.93,1.14,1,1.11,0,100,0,69.25,17,17-18
19,2940,,60.6,4.33,0,3.77,3.77,6.43,0,0.11,458,"2,940.00",148.5,2.54,0.37,87.07,91.42,1.12,0.98,1.09,0,100,0,58.45,17,17-19
20,2941.12,,0,3.71,0,3.81,3.81,5.81,0,0.1,458,"2,941.12",156.6,2.7,0.4,102.7,92.39,1.11,0.97,1.08,0,100,0,58.1,17,17-20
21,2942.6,,0,6.27,0,3.77,3.77,6.67,0,0.12,460,"2,942.60",106.38,1.91,0.36,60.13,91.42,1.14,1,1.11,0,100,0,55.58,17,17-21
22,2943.66,,0,3.89,0,3.74,3.74,5.46,0,0.11,456,"2,943.66",140.36,2.83,0.41,96.14,90.7,1.09,0.95,1.05,0,100,0,49.64,17,17-22
23,2945.55,,0,3.46,0,3.45,3.45,4.45,0,0.17,456,"2,945.55",128.61,4.91,0.44,99.71,83.66,1.08,0.94,1.05,0,100,0,26.18,17,17-23
24,2945.7,,0,1.48,0,1.37,1.37,1.04,0,0.19,442,"2,945.70",70.27,12.84,0.57,92.57,33.22,0.84,0.74,0.8,0,100,0,5.47,17,17-24
25,2946.38,,0,1.59,0,1.71,1.71,1.17,0,0.22,448,"2,946.38",73.58,13.84,0.59,107.55,41.47,0.95,0.83,0.9,0,100,0,5.32,17,17-25
1,3326.04,,0,1.8,0,0.04,0.04,1.28,0,0.11,461,"3,326.04",71.11,6.11,0.03,2.22,0.97,1.17,1.02,1.14,0,100,0,11.64,18,18-Jan
2,3328.05,,0,2.89,0,0.05,0.05,2.51,0,0.07,461,"3,328.05",86.85,2.42,0.02,1.73,1.21,1.17,1.02,1.14,0,100,0,35.86,18,18-Feb
3,3329.03,,0,1.02,0,0.06,0.06,0.62,0,0.13,459,"3,329.03",60.78,12.75,0.09,5.88,1.46,1.13,0.99,1.1,0,100,0,4.77,18,18-Mar
4,3330,,0,2.47,0,0.05,0.05,2.01,0,0.06,460,"3,330.00",81.38,2.43,0.02,2.02,1.21,1.15,1,1.12,0,100,0,33.5,18,18-Apr
5,3331.89,,0,2.49,0,2.39,2.39,2.97,0,0.26,458,"3,331.89",119.28,10.44,0.45,95.98,57.96,1.12,0.97,1.08,0,100,0,11.42,18,18-May
6,3333.86,,60.5,2.7,0,0.05,0.05,2.37,0,0.08,459,"3,333.86",87.78,2.96,0.02,1.85,1.21,1.13,0.99,1.1,0,100,0,29.63,18,18-Jun
7,3335.46,,60.2,2.81,0,0.05,0.05,2.36,0,0.08,461,"3,335.46",83.99,2.85,0.02,1.78,1.21,1.17,1.02,1.14,0,100,0,29.5,18,18-Jul
8,3336.58,,60.4,3.48,0,0.07,0.07,3.15,0,0.08,460,"3,336.58",90.52,2.3,0.02,2.01,1.7,1.15,1,1.12,0,100,0,39.38,18,18-Aug
9,3338.06,,60.1,2.49,0,0.05,0.05,2.02,0,0.06,460,"3,338.06",81.12,2.41,0.02,2.01,1.21,1.15,1,1.12,0,100,0,33.67,18,18-Sep
10,3339,,60.1,2.02,0,0.04,0.04,1.72,0,0.04,460,"3,339.00",85.15,1.98,0.02,1.98,0.97,1.15,1,1.12,0,100,0,43,18,18-Oct
11,3340.16,,60.2,2.36,0,2.48,2.48,3.04,0,0.44,450,"3,340.16",128.81,18.64,0.45,105.08,60.14,0.98,0.86,0.94,0,100,0,6.91,18,18-Nov
12,3341.5,,60.4,1.92,0,0.06,0.06,1.63,0,0.04,460,"3,341.50",84.9,2.08,0.04,3.13,1.46,1.15,1,1.12,0,100,0,40.75,18,18-Dec
13,3342.46,,60.2,2.44,0,0.07,0.07,2.18,0,0.04,460,"3,342.46",89.34,1.64,0.03,2.87,1.7,1.15,1,1.12,0,100,0,54.5,18,18-13
14,3342.43,,60.8,4.4,0,3.35,3.35,5.61,0,0.34,458,"3,342.43",127.5,7.73,0.37,76.14,81.24,1.12,0.97,1.08,0,100,0,16.5,18,18-14
15,3344.98,,60.5,3.27,0,0.08,0.08,3.48,0,0.13,459,"3,344.98",106.42,3.98,0.02,2.45,1.94,1.13,0.99,1.1,0,100,0,26.77,18,18-15
